num_of_features, hidden_layer_size, momentum, mean_score, std_score
40,               20,                0.0,      0.67857354, 0.032535424
40,               20,                0.9,      0.6734846, 0.052885966
40,               30,                0.0,      0.74559744, 0.027964586
40,               30,                0.9,      0.72472333, 0.045049732
40,               40,                0.0,      0.74760532, 0.021197633
40,               40,                0.9,      0.74562257, 0.017001472
41,               20,                0.0,      0.67856369, 0.054835719
41,               20,                0.9,      0.67327223, 0.044113849
41,               30,                0.0,      0.74315053, 0.033306931
41,               30,                0.9,      0.73893865, 0.027396925
41,               40,                0.0,      0.76579552, 0.027370318
41,               40,                0.9,      0.75025967, 0.029587648
42,               20,                0.0,      0.68302143, 0.038248496
42,               20,                0.9,      0.68367085, 0.056129632
42,               30,                0.0,      0.73138606, 0.027747679
42,               30,                0.9,      0.73984035, 0.029594248
42,               40,                0.0,      0.77157773, 0.016818978
42,               40,                0.9,      0.75181769, 0.026861391
43,               20,                0.0,      0.68901256, 0.039328652
43,               20,                0.9,      0.67524612, 0.044280464
43,               30,                0.0,      0.74228135, 0.018623548
43,               30,                0.9,      0.73983395, 0.029601781
43,               40,                0.0,      0.76891205, 0.022234178
43,               40,                0.9,      0.76137669, 0.019982599
44,               20,                0.0,      0.68344026, 0.040956631
44,               20,                0.9,      0.6980951, 0.053325882
44,               30,                0.0,      0.7356137, 0.025250937
44,               30,                0.9,      0.7258507, 0.026853521
44,               40,                0.0,      0.75315743, 0.025751131
44,               40,                0.9,      0.75780882, 0.028463556
45,               20,                0.0,      0.7043459, 0.051317918
45,               20,                0.9,      0.67525844, 0.055572965
45,               30,                0.0,      0.73762158, 0.031751619
45,               30,                0.9,      0.74849815, 0.018206633
45,               40,                0.0,      0.76291944, 0.021364508
45,               40,                0.9,      0.76669475, 0.024076431
46,               20,                0.0,      0.6945494, 0.061017
46,               20,                0.9,      0.68392116, 0.039360605
46,               30,                0.0,      0.74005075, 0.029396939
46,               30,                0.9,      0.73939492, 0.035688212
46,               40,                0.0,      0.75204188, 0.033490441
46,               40,                0.9,      0.75893816, 0.027489126
47,               20,                0.0,      0.70789061, 0.041231413
47,               20,                0.9,      0.70057157, 0.049078107
47,               30,                0.0,      0.75360976, 0.027328732
47,               30,                0.9,      0.76336832, 0.015412055
47,               40,                0.0,      0.78422567, 0.02152312
47,               40,                0.9,      0.77112294, 0.027080622
48,               20,                0.0,      0.70145947, 0.061458085
48,               20,                0.9,      0.69675733, 0.049476426
48,               30,                0.0,      0.75804681, 0.012356973
48,               30,                0.9,      0.753356, 0.04527253
48,               40,                0.0,      0.78379207, 0.022183878
48,               40,                0.9,      0.78156935, 0.017410708
49,               20,                0.0,      0.68590096, 0.046280789
49,               20,                0.9,      0.71319832, 0.026010679
49,               30,                0.0,      0.75249766, 0.01800582
49,               30,                0.9,      0.7655728, 0.023563886
